CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
CHEM 242  B,ORGANIC CHEMIST,ORGANIC CHEMISTRY II,9:00:00,9:50:00,MWF,HAL,204,29,34
CHEM 242  L    L,LABORATORY,LABORATORY,14:00:00,16:59:00,M,RO,105,7,8
CHEM 242  M    L,LABORATORY,LABORATORY,14:00:00,16:59:00,W,RO,105,9,10
CHEM 242  N    L,LABORATORY,LABORATORY,14:00:00,16:59:00,R,STEM,226,7,8
CHEM 242  O    L,LABORATORY,LABORATORY,10:05:00,12:59:00,R,STEM,226,9,10
CHEM 242  P    L,LABORATORY,LABORATORY,14:00:00,16:59:00,W,STEM,226,11,11
CHEM 242  Q    L,LABORATORY,LABORATORY,10:05:00,12:59:00,R,RO,105,10,12
CHEM 270  A,INDEPEND RSRCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,5,6
CHEM 342  A,PHYS CHEM,PHYSICAL CHEM OF BIOLOGICAL SYSTEMS,10:00:00,10:50:00,MWF,HAL,114,16,19
CHEM 342  M    L,LABORATORY,LABORATORY,14:30:00,17:29:00,R,STEM,50,16,19
CHEM 346  A,MACRO CHEM,MACROSCOPIC PHYSICAL CHEMISTRY:,11:00:00,11:50:00,MWF,STEM,50,16,19
CHEM 346  L    L,LABORATORY,LABORATORY,14:00:00,16:59:00,M,STEM,50,16,16
CHEM 352  A,BIOCHEMISTRY II,BIOCHEMISTRY II,9:00:00,9:50:00,MWF,HAL,113,20,24
CHEM 352  M    L,LABORATORY,LABORATORY,13:00:00,16:59:00,W,STEM,155,20,20
CHEM 356  A,MOLEC SYM/GP TH,MOLECULAR SYMMETRY/GP THRY,10:05:00,11:20:00,T,HAL,206,28,33
CHEM 370  A,IND RESEARCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,1,1
CHEM 406  A,INSTRUM ANLYS,INSTRUMENTAL ANALYSIS,12:00:00,12:50:00,WF,STEM,160B,4,4
CHEM 406  L    L,LABORATORY,LABORATORY,14:00:00,16:59:00,W,RO,54,4,4
CHEM 428  A,ORGANOMETALLIC,ORGANOMETALLIC CHEMISTRY,9:00:00,9:50:00,MWF,RO,102,6,7
CHEM 445  A,CHEM MOD/COMPUT,CHEM MODELING/COMPUTATIONAL CHEM,10:05:00,11:20:00,TR,STEM,50,3,3
CHEM 458  A,ADV SYNTH LAB,ADVANCED SYNTHESIS LABORATORY,13:00:00,16:29:00,TR,RO,102,6,7
CHEM 463  A,POLYMER CHEMIST,POLYMER CHEMISTRY,8:00:00,8:50:00,TR,STEM,140B,3,3
CHEM 487  A,BIOCHEM SEM,BIOCHEMISTRY SEMINAR,14:00:00,14:50:00,F,STEM,140B,6,6
CHEM 487  B,BIOCHEM SEM,BIOCHEMISTRY SEMINAR,13:00:00,13:50:00,F,STEM,140B,5,6
CHEM 499  A,HONORS:CH RSRCH,HONORS,NULL,NULL,,NULL,NULL,1,1
CHIN 102  A,ELEM CHINESE II,ELEMENTARY CHINESE II,9:00:00,9:50:00,MWF,HAL,103,4,4
CHIN 102  B,ELEM CHINESE II,ELEMENTARY CHINESE II,10:00:00,10:50:00,MWF,HAL,103,9,9
CHIN 202  A,INTMED CHIN II,INTERMEDIATE CHINESE II,14:00:00,14:50:00,MWF,HAL,103,6,7
CHIN 302  A,ADV CHINESE II,ADVANCED CHINESE II,11:00:00,11:50:00,MWF,HAL,103,6,7
CHIN 390  A,STDY: CHIN CONV,STUDY: CHINESE CONVERSATION,10:05:00,11:20:00,TR,HAL,103,2,2
COMM 104  A,PUB SPEAK/RHET,PUBLIC SPEAKING & RHETORIC,11:00:00,11:50:00,MWF,HAL,207,25,30
COMM 110  A,PRIN OF MEDIA,PRINCIPLES OF MEDIA,14:00:00,14:50:00,MWF,HAL,207,25,25
COMM 135  A,WRITE FOR MEDIA,WRITING FOR THE MEDIA,8:00:00,8:50:00,MWF,HAL,212,24,28
COMM 207  A,THEORIES/COMM,THEORIES OF COMMUNICATION,8:00:00,9:15:00,TR,HAL,208,39,39
COMM 212  A,RESEARCH METH I,RESEARCH METHODS IN COMM,11:30:00,12:45:00,TR,HAL,216,28,33
COMM 225  A,INTERCULT COMM,INTERCULTURAL COMMUNICATION,15:00:00,15:50:00,MWF,HAL,204,32,38
COMM 235  A,JOURNALISM,JOURNALISM,10:05:00,11:20:00,TR,HAL,201,20,24
COMM 303  A,PROFNL COMM,PROFESSIONAL COMMUNICATION,14:30:00,15:45:00,TR,HAL,304,27,27
COMM 359  A,SCREENWRITING,SCREENWRITING,10:00:00,10:50:00,MWF,HAL,204,20,24
COMM 360  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,1,1
COMM 362  A,MEDIA LAW/ETHIC,MEDIA LAW & ETHICS,12:00:00,12:50:00,MWF,HAL,312,26,31
COMM 390  A,STDY: INT COMM,STUDY: INTERPERSONAL COMMUNICATION,12:00:00,12:50:00,MWF,HAL,207,22,26
COMM 390  B,STDY:CRISIS COM,STUDY: CRISIS COMMUNICATION,13:00:00,14:15:00,TR,HAL,301,20,24
COMM 427  A,RHET THRY/CRIT,RHETRCL THEORY & CRITICISM,10:00:00,10:50:00,MWF,HAL,323,27,27
COMM 444  A,ADV FILM THEORY,ADVANCED FILM THEORY,13:00:00,14:15:00,TR,HAL,114,10,10
COMP 141  A,COMP PROGRAM I,COMP PROGRAMMING I,13:00:00,13:50:00,MWF,STEM,326,31,37
COMP 141  B,COMP PROGRAM I,COMP PROGRAMMING I,14:00:00,14:50:00,MWF,STEM,326,28,33
COMP 205  A,ETHICS COMP PRO,ETHICS IN COMPUTING PROFESSION,14:30:00,15:45:00,TR,HAL,114,31,37
COMP 205  B,ETHICS COMP PRO,ETHICS IN COMPUTING PROFESSION,14:30:00,15:45:00,TR,HAL,114,5,6
COMP 220  A,COMP PROGRAMMIN,COMP PROGRAMMING II,9:00:00,9:50:00,MWF,STEM,326,16,16
COMP 222  A,DATA STRUC/ALGO,INTRO TO DATA STRUCT & ALGORITHMS,10:05:00,11:20:00,TR,STEM,376,28,28
COMP 222  B,DATA STRUC/ALGO,INTRO TO DATA STRUCT & ALGORITHMS,11:30:00,12:45:00,TR,STEM,376,21,25
COMP 252  A,COMP ARCH ORG,COMPUTER ARCHITECTURE/ORG,11:00:00,11:50:00,MWF,STEM,326,33,39
COMP 314  A,FOUN COMP SCI,FOUNDATIONS OF COMPUTER SCIENCE,10:00:00,10:50:00,MWF,STEM,326,33,39
COMP 340  A,OPERATING SYST,OPERATING SYSTEMS,15:00:00,15:50:00,MWF,STEM,51,45,54
COMP 361  A,INT COMP GRAPH,INTRO TO COMPUTER GRAPHICS,14:00:00,14:50:00,MWF,STEM,376,30,30
COMP 390  A,STDY: CONCUR,STUDY: CONCURRENCY/PARALLEL PROG,8:00:00,9:15:00,TR,STEM,160B,12,12
COMP 401  A,IOS PROGRAMMING,IOS PROGRAMMING,11:30:00,12:45:00,TR,STEM,326,24,28
COMP 443  A,OOPL/EVENT-DRIV,OOPL/EVENT-DRIVEN PROG,14:30:00,15:45:00,TR,STEM,376,18,18
COMP 446  A,ADV COMP GAME,ADV COMPUTER GAME DESIGN/DEV,10:05:00,11:20:00,TR,STEM,326,15,15
COMP 450  A,SOFTWARE ENGR,SOFTWARE ENGINEERING,12:00:00,12:50:00,MWF,STEM,376,23,27
COMP 450  B,SOFTWARE ENGR,SOFTWARE ENGINEERING,13:00:00,13:50:00,MWF,STEM,376,23,27
COMP 452  A,SR PROJECT II,SENIOR PROJECT II,9:00:00,9:50:00,MWF,STEM,376,28,33
ECON 101  A,PRIN ECON-MICRO,PRIN OF ECONOMICS-MICRO,11:00:00,11:50:00,MWF,HAL,310,56,67
ECON 101  B,PRIN ECON-MICRO,PRIN OF ECONOMICS-MICRO,14:00:00,14:50:00,MWF,HAL,113,56,67
ECON 102  A,PRIN ECON-MACRO,PRIN OF ECONOMICS-MACRO,8:00:00,9:15:00,TR,HAL,310,23,27
ECON 102  B,PRIN ECON-MACRO,PRIN OF ECONOMICS-MACRO,11:30:00,12:45:00,TR,HAL,310,39,46
ECON 120  A,FOUND OF ECON,FOUNDATIONS OF ECONOMICS,15:00:00,15:50:00,MWF,HAL,113,44,52
ECON 209  A,ENTR & ENTERPRI,ENTREPRENEURSHIP & ENTERPRISE,13:00:00,13:50:00,MWF,HAL,212,24,28
ECON 290  A,VISION/VALUES,STUDY: VISION AND VALUES CONF,NULL,NULL,,NULL,NULL,14,16
ECON 290  B,STDY: PRIVACY,STUDY:ECONOMICS OF INFO AND PRIVACY,11:30:00,12:45:00,TR,HH,113,6,6
ECON 302  A,INTER MACROECON,INTERMEDIATE MACRO ECON,14:30:00,15:45:00,TR,HAL,301,24,28
ECON 306  A,AUSTRIAN ECONOM,AUSTRIAN ECONOMICS,12:00:00,12:50:00,MWF,HAL,209,24,28
ECON 408  A,HIST ECON THT,HIST ECON THOUGHT SINCE 1870,11:30:00,12:45:00,TR,HAL,323,14,16
ECON 456  A,FIN MKTS/INSTIT,FINANCIAL MARKETS AND INSTITUTIONS,9:00:00,9:50:00,MWF,HAL,209,10,12
EDUC 202  A,FOUND OF TEACH,FOUNDATIONS OF TEACHING,8:00:00,9:15:00,TR,HAL,114,13,13
EDUC 202  B,FOUND OF TEACH,FOUNDATIONS OF TEACHING,10:05:00,11:20:00,TR,HAL,114,17,17
EDUC 203  A,CULT REL PEDAGO,CULTURALLY RELEVANT PEDAGOGY,13:00:00,14:15:00,TR,HAL,105,23,27
